TICKET_ID,SERVICE_TYPE,SUBMIT_DATE,LAST_MODIFICATION_DATE,ASSIGNED_SUPPORT_COMPANY,REPORTED_DATE,REPORTED_SOURCE_ID,OPERATING_COMPANY_NAME,OPERATING_LE,CONTACT_COMPANY_NAME,END_USER_COUNTRY,REQUIRED_RESOLUTION_DATE,ASSIGNED_AGENT,LAST_RESOLVED_DATE,CLOSED_DATE,PRODUCT_CATEGORIZATION_TIER_1,PRODUCT_CATEGORIZATION_TIER_2,PRODUCT_CATEGORIZATION_TIER_3,OPERATIONAL_CATEGORIZATION_TIER_1,OPERATIONAL_CATEGORIZATION_TIER_2,OPERATIONAL_CATEGORIZATION_TIER_3,CLOSURE_CATEGORIZATION_TIER_1,CLOSURE_CATEGORIZATION_TIER_2,CLOSURE_CATEGORIZATION_TIER_3,VENDOR_GROUP,INF2_HPD_OUTAGE_DURATION,CI_COUNTRY,ADMIN_NUMBER,INSTANCEID
INC000001820715,User Service Restoration,2019-07-22 23:18:25,2019-07-23 03:00:26,Telefonica,2019-07-22 23:18:22,12001.0,Telefónica Venezuela (TELCEL),Banco Bilbao Vizcaya Argentaria (BBVA),,Spain,,René Javier Kendler Escalona,2019-07-23 00:51:28,2019-07-23 00:51:28,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Total Isolation,Total Isolation,NO DATA,NO DATA,NO DATA,,0.0,Spain,20110621-SITEMPLS-0000320592,IDGAA5V0F6F35APVC6QPPUEY40KLHB
INC000001824417,User Service Restoration,2019-07-25 05:33:30,2019-07-25 05:36:37,Telefonica,2019-07-25 05:33:26,12001.0,Telefónica Venezuela (TELCEL),Banco Bilbao Vizcaya Argentaria (BBVA),,Spain,2019-07-25 05:36:35,Michelle Billy,2019-07-25 05:36:35,2019-07-25 05:36:35,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Total Isolation,Total Isolation,Provider,Local Loop,Restored automatically without intervention,,3.0,Spain,20110621-SITEMPLS-0000320592,IDGAA5V0F6F35APVGN5UPUJFD5QV1T
INC000001824755,User Service Restoration,2019-07-25 05:41:53,2019-07-26 03:00:05,Telefonica,2019-07-25 05:40:05,1000.0,Telefónica Venezuela (TELCEL),Banco Bilbao Vizcaya Argentaria (BBVA),,Spain,,Tudor Alexandru Manea,2019-07-25 06:39:45,2019-07-25 06:39:45,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Total Isolation,Total Isolation,NO DATA,NO DATA,NO DATA,Telefonica de España CCT Akamai,0.0,Spain,20110621-SITEMPLS-0000320592,AGGAA5V0F5WOOAPVGNTTPUJHUQMKTQ
INC000001824758,User Service Restoration,2019-07-25 05:45:25,2019-12-10 08:37:44,"TELEFONICA DE ESPAÑA, S.A.U.",2019-07-25 05:45:25,15001.0,"TELEFONICA DE ESPAÑA, S.A.U.",Telefonica de España CCT Akamai,Telefonica,,,,,,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Total Isolation,Total Isolation,,,,Telefonica de España CCT Akamai,0.0,,20110621-SITEMPLS-0000320592,AGGAA5V0F5WOOAPVGNZPPUJIAMMKY1
INC000001934182,User Service Restoration,2019-10-09 23:38:12,2019-10-18 02:06:44,Telefonica,2019-10-09 23:38:07,12001.0,TELCEL C.A. (TEL MOV VENEZUELA),TELCEL C.A. (TEL MOV VENEZUELA),,Spain,2019-10-14 11:17:35,,2019-10-14 11:19:53,2019-10-18 02:00:00,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Total Isolation,Total Isolation,Telefonica TIWS,International Backbone Network,Emergency work,,18.0,Spain,20110621-SITEMPLS-0000320592,IDGAA5V0F5V26APZES1OPYHEUUCJ7J
INC000001991175,User Service Restoration,2019-11-13 00:41:29,2019-11-17 02:46:37,Telefonica,2019-11-13 00:41:22,12001.0,TELCEL C.A. (TEL MOV VENEZUELA),TELCEL C.A. (TEL MOV VENEZUELA),,Spain,2019-11-13 09:09:01,,2019-11-13 09:10:26,2019-11-17 02:12:27,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Total Isolation,Total Isolation,Customer,Others,Others,,58.0,Spain,20110621-SITEMPLS-0000320592,IDGAA5V0F6F35AQAVTXFPZYDRWLBEU
