TICKET_ID,SERVICE_TYPE,SUBMIT_DATE,LAST_MODIFICATION_DATE,ASSIGNED_SUPPORT_COMPANY,REPORTED_DATE,REPORTED_SOURCE_ID,OPERATING_COMPANY_NAME,OPERATING_LE,CONTACT_COMPANY_NAME,END_USER_COUNTRY,REQUIRED_RESOLUTION_DATE,ASSIGNED_AGENT,LAST_RESOLVED_DATE,CLOSED_DATE,PRODUCT_CATEGORIZATION_TIER_1,PRODUCT_CATEGORIZATION_TIER_2,PRODUCT_CATEGORIZATION_TIER_3,OPERATIONAL_CATEGORIZATION_TIER_1,OPERATIONAL_CATEGORIZATION_TIER_2,OPERATIONAL_CATEGORIZATION_TIER_3,CLOSURE_CATEGORIZATION_TIER_1,CLOSURE_CATEGORIZATION_TIER_2,CLOSURE_CATEGORIZATION_TIER_3,VENDOR_GROUP,INF2_HPD_OUTAGE_DURATION,CI_COUNTRY,ADMIN_NUMBER,INSTANCEID
INC000000581948,User Service Restoration,2017-03-15 22:45:03,2019-07-18 19:50:08,Telefonica,2017-03-15 22:44:47,2000.0,Telefónica Venezuela (TELCEL),Banco Bilbao Vizcaya Argentaria (BBVA),,Spain,2017-03-16 12:30:00,Luna Hernández San Román,2017-03-16 12:42:48,2017-03-24 02:07:04,WAN connectivity,Managed national VPN,VPN-MPLS SITE,Wan Services,MWAN - Performance,Slowness and/or Delays,CUSTOMER,Bad request,,Telefónica Venezuela (TELCEL),2.0,Venezuela,20110621-SITEMPLS-0000320594,IDHAA5V0A57OPAOMVNZIBDAVKB2CW8
INC000000581960,User Service Restoration,2017-03-15 23:28:23,2019-07-18 19:51:05,Telefónica Venezuela (TELCEL),2017-03-15 23:28:23,15001.0,Telefónica Venezuela (TELCEL),TELCEL C.A. (TEL MOV VENEZUELA),,Spain,2017-03-16 12:38:00,,2017-03-16 12:39:33,2017-03-24 02:07:04,WAN connectivity,Managed national VPN,VPN-MPLS SITE,Wan Services,MWAN - Performance,Slowness and/or Delays,CUSTOMER,Bad request,,Telefónica Venezuela (TELCEL),2.0,Venezuela,20110621-SITEMPLS-0000320594,AGHAA5V0A57OPAOMVQ9JBEZWFY27IL
INC000000582963,User Service Restoration,2017-03-18 01:13:21,2019-07-18 19:50:08,Telefonica,2017-03-18 01:06:56,1000.0,Telefónica Venezuela (TELCEL),Banco Bilbao Vizcaya Argentaria (BBVA),,Spain,2017-03-19 21:20:40,Pilar Martínez Pestaña,2017-03-19 21:22:52,2017-03-27 02:00:01,WAN connectivity,Managed national VPN,VPN-MPLS SITE,Wan Services,MWAN - Failure,Service Reports,CUSTOMER,Bad request,,Telefónica Venezuela (TELCEL),1.0,Venezuela,20110621-SITEMPLS-0000320594,AGHAA5V0A57OPAOMZKQHEDMK9IF6NO
INC000000582968,User Service Restoration,2017-03-18 01:29:38,2019-07-18 19:51:05,Telefónica Venezuela (TELCEL),2017-03-18 01:29:38,15001.0,Telefónica Venezuela (TELCEL),TELCEL C.A. (TEL MOV VENEZUELA),,Spain,2017-03-19 21:17:48,,2017-03-19 21:21:25,2017-03-27 02:00:01,WAN connectivity,Managed national VPN,VPN-MPLS SITE,Wan Services,MWAN - Failure,Service Reports,CUSTOMER,Bad request,,Telefónica Venezuela (TELCEL),1.0,,20110621-SITEMPLS-0000320594,AGHAA5V0A57OPAOMZL72EEH87HFRC5
INC000000603180,User Service Restoration,2017-04-25 14:50:50,2019-07-18 19:49:29,Telefonica,2017-04-25 14:49:56,1000.0,Telefónica Venezuela (TELCEL),Banco Bilbao Vizcaya Argentaria (BBVA),,Spain,,,2017-04-25 16:27:12,2017-04-25 16:27:12,WAN connectivity,Managed national VPN,VPN-MPLS SITE,Wan Services,MWAN - Performance,Slowness and/or Delays,,,,,0.0,Venezuela,20110621-SITEMPLS-0000320594,AGHAA5V0A57OPAOOYZWOA1J0YVFFPL
INC000001576350,Infrastructure Event,2019-02-08 18:23:03,2019-07-18 19:49:29,Telefonica,2019-02-08 18:23:03,10000.0,Telefónica Venezuela (TELCEL),ANAYANSI C.A.,,Spain,,,2019-02-08 18:29:59,2019-02-08 18:29:59,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Service Reports,Service Reports,NO DATA,NO DATA,NO DATA,,0.0,Venezuela,20110621-SITEMPLS-0000320594,IDGAA5V0F5V26APMM3Q7PLPHLKADUY
INC000001647198,User Service Restoration,2019-03-27 16:21:25,2019-07-18 19:49:29,Telefonica,2019-03-27 16:21:19,12001.0,Telefónica Venezuela (TELCEL),Banco Bilbao Vizcaya Argentaria (BBVA),,Spain,,Gilberto Garcia Gonzalez,2019-03-28 17:17:00,2019-03-28 17:18:07,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Total Isolation,Total Isolation,Customer,Others,Others,,0.0,Venezuela,20110621-SITEMPLS-0000320594,IDGAA5V0F6F35APPBJ5PPODYM7B8LJ
INC000001880200,User Service Restoration,2019-09-05 13:52:37,2019-09-09 02:28:49,Telefonica,2019-09-05 13:52:31,12001.0,TELCEL C.A. (TEL MOV VENEZUELA),TELCEL C.A. (TEL MOV VENEZUELA),,Spain,2019-09-05 15:35:09,,2019-09-05 15:35:41,2019-09-09 02:16:25,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Total Isolation,Total Isolation,Telefonica TIWS,International Backbone Network,Trunk link failure,,40.0,Venezuela,20110621-SITEMPLS-0000320594,IDGAA5V0F5V26APX3C9PPW57K3I5QM
