TICKET_ID,SERVICE_TYPE,SUBMIT_DATE,LAST_MODIFICATION_DATE,ASSIGNED_SUPPORT_COMPANY,REPORTED_DATE,REPORTED_SOURCE_ID,OPERATING_COMPANY_NAME,CONTACT_COMPANY_NAME,END_USER_COUNTRY,REQUIRED_RESOLUTION_DATE,ASSIGNED_AGENT,LAST_RESOLVED_DATE,CLOSED_DATE,PRODUCT_CATEGORIZATION_TIER_1,PRODUCT_CATEGORIZATION_TIER_2,PRODUCT_CATEGORIZATION_TIER_3,OPERATIONAL_CATEGORIZATION_TIER_1,OPERATIONAL_CATEGORIZATION_TIER_2,OPERATIONAL_CATEGORIZATION_TIER_3,CLOSURE_CATEGORIZATION_TIER_1,CLOSURE_CATEGORIZATION_TIER_2,CLOSURE_CATEGORIZATION_TIER_3,VENDOR_GROUP,INF2_HPD_OUTAGE_DURATION,ADMIN_NUMBER,INSTANCEID
INC000001061897,User Service Request,2018-01-30 22:25:14,2019-07-18 19:35:55,Telefonica,2018-01-30 22:06:18,12001.0,Telefónica México (Pegaso),,Spain,2018-01-31 21:24:45,Aridai Vega Martín,2018-01-31 21:24:53,2018-02-08 02:00:00,WAN connectivity,Managed national VPN,VPN-MPLS SITE,Wan Services,MWAN - Performance,Errors,TELEFONICA,INTERNATIONAL NNI,INNI - CONFIGURATION ERROR,,300.0,20100322-SITEMPLS-0000075945,IDGAA5V0F5WOOAPD4CPWPC7KHV05AS
INC000001193643,Query Ticket,2018-05-07 16:49:41,2019-07-18 19:35:55,Telefonica,2018-05-07 16:42:46,12001.0,Telefónica México (Pegaso),,Spain,,Juan Carlos  Arellano Perez,2018-05-08 16:24:50,2018-05-08 16:26:19,WAN connectivity,Managed national VPN,VPN MPLS,Wan Services,MWAN - Failure,Damage in Backup Line,NO DATA,NO DATA,NO DATA,,0.0,20100322-SITEMPLS-0000075945,IDGAA5V0F6IPYAPI304YPH6LN6QAO8
INC000001193617,User Service Restoration,2018-05-07 17:39:17,2019-07-18 19:35:55,Telefonica,2018-05-07 17:38:26,12001.0,Telefónica México (Pegaso),,Spain,,,2018-05-09 12:45:04,2018-05-09 12:45:04,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Wan Services,MWAN - Failure,Damage in Backup Line,NO DATA,NO DATA,NO DATA,XO Communications,0.0,20100322-SITEMPLS-0000075945,AGGAA5V0F5WOOAPI33B7PH6O0AGKSM
INC000001209422,User Service Restoration,2018-05-17 09:03:42,2019-07-18 19:35:55,Telefonica,2018-05-17 08:57:08,12001.0,Telefónica México (Pegaso),,Spain,2018-05-19 05:03:41,Jose Luis Vazquez Santos,2018-05-22 10:08:20,2018-05-30 02:24:55,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Wan Services,MWAN - Failure,Total Isolation,PROVIDER,Configuration,,XO Communications,1260.0,20100322-SITEMPLS-0000075945,IDGAA5V0F5WOOAPIVH53PHY8NVE0NO
INC000001311301,User Service Restoration,2018-07-29 15:47:40,2019-07-18 19:35:55,Telefonica,2018-07-29 15:50:18,12001.0,Telefónica México (Pegaso),,Spain,2018-07-30 04:35:49,RAFAEL VERRI SILVA,2018-07-30 04:36:44,2018-07-30 04:38:37,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Wan Services,MWAN - Failure,Damage in Backup Line,WAN - PROVIDER,LOCAL NNI,LNNI - FIBER CUT,XO Communications,298.0,20100322-SITEMPLS-0000075945,IDGAA5V0F6IPYAP2MXH6P1QCMBJFVK
INC000001311313,User Service Restoration,2018-07-29 17:02:42,2019-07-18 19:35:55,Telefonica,2018-07-29 16:49:59,10000.0,Telefónica México (Pegaso),Telefónica México (Pegaso),Spain,,,2018-07-29 17:17:13,2018-07-29 17:17:13,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Wan Services,MWAN - Failure,Damage in Main Line Working with Backup,NO DATA,NO DATA,NO DATA,,0.0,20100322-SITEMPLS-0000075945,IDGAA5V0F6IPYAP2NACGP1QF6SJHHJ
INC000001322999,User Service Restoration,2018-08-08 04:17:55,2019-07-18 19:36:48,Telefónica México (Pegaso),2018-08-08 04:17:20,12001.0,Telefónica México (Pegaso),,Spain,2018-08-08 04:26:03,,2018-08-30 10:49:39,2018-09-03 02:00:54,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Wan Services,MWAN - Failure,Damage in Backup Line,WAN - PROVIDER,LOCAL LOOP,LL - RESTORED WITHOUT INTERVENTION,,1.0,20100322-SITEMPLS-0000075945,IDGAA5V0F5V26AP3E9XVP2HOTRH64S
INC000001323768,User Service Restoration,2018-08-08 04:30:34,2019-07-18 19:36:48,Telefónica México (Pegaso),2018-08-08 04:24:41,12001.0,Telefónica México (Pegaso),,Spain,2018-08-08 05:19:56,,2018-08-30 10:55:37,2018-09-03 02:00:54,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Wan Services,MWAN - Failure,Damage in Backup Line,WAN - PROVIDER,LOCAL LOOP,LL - RESTORED WITHOUT INTERVENTION,,49.0,20100322-SITEMPLS-0000075945,IDGAA5V0F5WOOAP3EKI0P2HPEGDGAM
INC000001388982,User Service Restoration,2018-09-25 22:21:29,2019-07-18 19:35:55,Telefonica,2018-09-25 22:20:56,12001.0,Telefónica México (Pegaso),,Spain,2018-09-26 04:03:00,,2018-09-28 07:26:21,2018-10-02 02:00:00,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Wan Services,MWAN - Failure,Damage in Backup Line,TELEFONICA,LOCAL LOOP,LL - OTHERS,ATLANTIX GLOBAL SYSTEMS,480.0,20100322-SITEMPLS-0000075945,IDGAA5V0F6F35AP5MUDTP4PV7TREQC
INC000001389649,User Service Restoration,2018-09-25 23:12:08,2019-07-18 19:35:55,Telefonica,2018-09-25 23:06:16,10000.0,Telefónica México (Pegaso),Telefónica México (Pegaso),Spain,2018-09-26 07:21:43,David Alcon,2018-09-26 07:22:24,2018-09-30 02:03:10,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Wan Services,MWAN - Failure,Damage in Main Line Working with Backup,WAN - CUSTOMER,OTHERS,OTHERS,XO Communications,477.0,20100322-SITEMPLS-0000075945,IDGAA5V0F6IPYAP5MWFWP4QAQJS9II
